"","ID","Nationality","Age","DaysSinceCreation","NameHash","DocIDHash","AverageLeadTime","LodgingRevenue","OtherRevenue","BookingsCanceled","BookingsNoShowed","BookingsCheckedIn","PersonsNights","RoomNights","DaysSinceLastStay","DaysSinceFirstStay","DistributionChannel","MarketSegment","SRHighFloor","SRLowFloor","SRAccessibleRoom","SRMediumFloor","SRBathtub","SRShower","SRCrib","SRKingSizeBed","SRTwinBed","SRNearElevator","SRAwayFromElevator","SRNoAlcoholInMiniBar","SRQuietRoom"
"10000",10000,"IRL","49",902,4.37326168220775e+76,2.79035791528452e+76,0,268,39.3,0,0,1,2,2,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10001",10001,"GBR","59",902,1.30076554390644e+76,4.264308761684e+76,39,247.8,72.5,0,0,1,4,2,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10002",10002,"FRA","64",902,3.54938513406902e+76,5.03007060109333e+76,154,543.5,196.5,0,0,1,10,5,907,907,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10003",10003,"USA","49",902,4.45729989999127e+76,1.32677045945477e+76,56,76.01,14,0,0,1,2,1,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10004",10004,"BEL","54",902,8.31512196849533e+76,1.13381073640055e+77,149,749.25,352.5,0,0,1,21,7,909,909,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10005",10005,"PRT","NULL",902,1.13120264287356e+77,4.32557292412142e+76,125,306.9,42,0,0,1,6,3,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10006",10006,"BEL","45",902,4.04589845614816e+75,6.01698970781257e+76,48,350.1,51,0,0,1,9,3,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10007",10007,"ESP","59",902,2.64135861403248e+76,4.56268991613584e+76,1,666,120,0,0,1,12,4,906,906,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10008",10008,"FIN","63",902,3.86157505078387e+75,1.03139793406839e+77,103,346.5,52,0,0,1,9,3,905,905,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,1,0,0,0,0,0
"10009",10009,"FRA","16",902,3.33939277953941e+75,7.76517704002545e+76,112,318.75,52.5,0,0,1,10,5,907,907,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10010",10010,"PRT","29",902,3.11935546042664e+76,1.10853446368129e+77,102,255,42,0,0,1,8,4,906,906,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10011",10011,"PRT","NULL",902,1.08931988729865e+77,4.32557292412142e+76,36,371.7,123.3,0,0,1,6,3,905,905,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,1,0,0,0,0,0
"10012",10012,"PRT","56",902,3.15852653704687e+76,2.04774463922501e+76,119,591.6,798,0,0,1,16,8,910,910,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10013",10013,"GBR","22",902,1.84203208086125e+75,2.22946691733269e+76,60,127.5,21,0,0,1,4,2,904,904,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10014",10014,"PRT","NULL",902,1.00538974201821e+76,4.32557292412142e+76,48,931.5,126,0,0,1,6,3,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10015",10015,"BEL","39",902,6.72144531292066e+76,4.92296941476195e+76,7,154,21,0,0,1,3,1,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10016",10016,"FRA","41",902,5.83316755726907e+76,1.93937959094198e+75,109,1623.75,2029.5,0,0,1,18,6,908,908,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,1,0,0,0,0,0
